family,corpus,engine,query_id,intent,style,hit1,hit3,tokens_to_locate,latency_ms,status
seccodebench,seccodebench-cwe1336,sifs,sec-cwe1336-02,locate-vuln,nl,True,True,148,4.3,ok
seccodebench,seccodebench-cwe1336,read-all,sec-cwe1336-kw1,locate-vuln,keyword,True,True,92,0.1,read 2 file(s)
seccodebench,seccodebench-cwe1336,rg,sec-cwe1336-kw1,locate-vuln,keyword,True,True,99,3.9,ok
seccodebench,seccodebench-cwe1336,sifs,sec-cwe1336-kw1,locate-vuln,keyword,True,True,148,3.8,ok
ctf-c,ctf-c,read-all,ctf-c-01,locate-vuln,nl,True,True,2689,0.1,read 17 file(s)
ctf-c,ctf-c,rg,ctf-c-01,locate-vuln,nl,False,False,,3.7,no-match
ctf-c,ctf-c,sifs,ctf-c-01,locate-vuln,nl,False,True,294,5.9,ok
ctf-c,ctf-c,read-all,ctf-c-02,locate-vuln,nl,True,True,2689,0.2,read 17 file(s)
ctf-c,ctf-c,rg,ctf-c-02,locate-vuln,nl,False,False,,4.1,no-match
ctf-c,ctf-c,sifs,ctf-c-02,locate-vuln,nl,True,True,411,6.5,ok
ctf-c,ctf-c,read-all,ctf-c-03,locate-vuln,nl,True,True,2689,0.2,read 17 file(s)
ctf-c,ctf-c,rg,ctf-c-03,locate-vuln,nl,False,False,,4.1,no-match
ctf-c,ctf-c,sifs,ctf-c-03,locate-vuln,nl,True,True,458,6.4,ok
ctf-c,ctf-c,read-all,ctf-c-04,navigate,nl,True,True,2689,0.2,read 17 file(s)
ctf-c,ctf-c,rg,ctf-c-04,navigate,nl,False,False,,4.1,no-match
ctf-c,ctf-c,sifs,ctf-c-04,navigate,nl,False,False,,6.0,ok
ctf-c,ctf-c,read-all,ctf-c-05,navigate,nl,True,True,2689,0.2,read 17 file(s)
ctf-c,ctf-c,rg,ctf-c-05,navigate,nl,False,False,,4.0,no-match
ctf-c,ctf-c,sifs,ctf-c-05,navigate,nl,False,True,296,6.3,ok
ctf-c,ctf-c,read-all,ctf-c-06,navigate,nl,True,True,2689,0.2,read 17 file(s)
ctf-c,ctf-c,rg,ctf-c-06,navigate,nl,False,False,,4.0,no-match
ctf-c,ctf-c,sifs,ctf-c-06,navigate,nl,True,True,190,6.3,ok
ctf-c,ctf-c,read-all,ctf-c-kw1,locate-vuln,keyword,True,True,2689,0.2,read 17 file(s)
ctf-c,ctf-c,rg,ctf-c-kw1,locate-vuln,keyword,True,True,77,4.2,ok
ctf-c,ctf-c,sifs,ctf-c-kw1,locate-vuln,keyword,True,True,237,5.6,ok
ctf-c,ctf-c,read-all,ctf-c-kw2,locate-vuln,keyword,True,True,2689,0.2,read 17 file(s)
ctf-c,ctf-c,rg,ctf-c-kw2,locate-vuln,keyword,True,True,81,4.9,ok
ctf-c,ctf-c,sifs,ctf-c-kw2,locate-vuln,keyword,True,True,411,5.9,ok
ctf-c,ctf-c,read-all,ctf-c-kw3,navigate,keyword,True,True,2689,0.2,read 17 file(s)
ctf-c,ctf-c,rg,ctf-c-kw3,navigate,keyword,False,True,207,4.2,ok
ctf-c,ctf-c,sifs,ctf-c-kw3,navigate,keyword,True,True,20,3.4,ok
synthetic,synthetic-10k,read-all,synth-retry-backoff,navigate,nl,True,True,5971065,81.4,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-retry-backoff,navigate,nl,False,False,,21.7,no-match
synthetic,synthetic-10k,sifs,synth-retry-backoff,navigate,nl,True,True,527,1818.1,ok
synthetic,synthetic-10k,read-all,synth-retry-backoff-kw,navigate,keyword,True,True,5971065,90.7,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-retry-backoff-kw,navigate,keyword,True,True,98,19.0,ok
synthetic,synthetic-10k,sifs,synth-retry-backoff-kw,navigate,keyword,True,True,527,1906.9,ok
synthetic,synthetic-10k,read-all,synth-quota-limit,navigate,nl,True,True,5971065,113.8,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-quota-limit,navigate,nl,False,False,,22.6,no-match
synthetic,synthetic-10k,sifs,synth-quota-limit,navigate,nl,True,True,521,1842.2,ok
synthetic,synthetic-10k,read-all,synth-quota-limit-kw,navigate,keyword,True,True,5971065,85.9,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-quota-limit-kw,navigate,keyword,True,True,94,18.9,ok
synthetic,synthetic-10k,sifs,synth-quota-limit-kw,navigate,keyword,True,True,521,1879.2,ok
synthetic,synthetic-10k,read-all,synth-token-refresh,navigate,nl,True,True,5971065,115.1,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-token-refresh,navigate,nl,False,False,,22.6,no-match
synthetic,synthetic-10k,sifs,synth-token-refresh,navigate,nl,True,True,517,1795.2,ok
synthetic,synthetic-10k,read-all,synth-token-refresh-kw,navigate,keyword,True,True,5971065,111.9,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-token-refresh-kw,navigate,keyword,True,True,94,22.1,ok
synthetic,synthetic-10k,sifs,synth-token-refresh-kw,navigate,keyword,True,True,517,1777.2,ok
synthetic,synthetic-10k,read-all,synth-ledger-prune,navigate,nl,True,True,5971065,113.3,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-ledger-prune,navigate,nl,False,False,,22.7,no-match
synthetic,synthetic-10k,sifs,synth-ledger-prune,navigate,nl,True,True,487,1866.9,ok
synthetic,synthetic-10k,read-all,synth-ledger-prune-kw,navigate,keyword,True,True,5971065,115.7,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-ledger-prune-kw,navigate,keyword,True,True,94,20.8,ok
synthetic,synthetic-10k,sifs,synth-ledger-prune-kw,navigate,keyword,True,True,487,1842.6,ok
synthetic,synthetic-10k,read-all,synth-schedule-shift,navigate,nl,True,True,5971065,80.2,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-schedule-shift,navigate,nl,False,False,,19.3,no-match
synthetic,synthetic-10k,sifs,synth-schedule-shift,navigate,nl,True,True,482,1793.2,ok
synthetic,synthetic-10k,read-all,synth-schedule-shift-kw,navigate,keyword,True,True,5971065,114.1,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-schedule-shift-kw,navigate,keyword,True,True,95,21.0,ok
synthetic,synthetic-10k,sifs,synth-schedule-shift-kw,navigate,keyword,True,True,482,1872.5,ok
synthetic,synthetic-10k,read-all,synth-archive-pack,navigate,nl,True,True,5971065,112.2,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-archive-pack,navigate,nl,False,False,,18.0,no-match
synthetic,synthetic-10k,sifs,synth-archive-pack,navigate,nl,True,True,501,1746.6,ok
synthetic,synthetic-10k,read-all,synth-archive-pack-kw,navigate,keyword,True,True,5971065,112.9,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-archive-pack-kw,navigate,keyword,True,True,92,21.4,ok
synthetic,synthetic-10k,sifs,synth-archive-pack-kw,navigate,keyword,True,True,501,1834.2,ok
synthetic,synthetic-10k,read-all,synth-rate-shed,navigate,nl,True,True,5971065,112.7,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-rate-shed,navigate,nl,False,False,,21.5,no-match
synthetic,synthetic-10k,sifs,synth-rate-shed,navigate,nl,True,True,516,1761.8,ok
synthetic,synthetic-10k,read-all,synth-rate-shed-kw,navigate,keyword,True,True,5971065,82.3,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-rate-shed-kw,navigate,keyword,True,True,93,21.2,ok
synthetic,synthetic-10k,sifs,synth-rate-shed-kw,navigate,keyword,True,True,516,1850.5,ok
synthetic,synthetic-10k,read-all,synth-rotation-window,navigate,nl,True,True,5971065,116.1,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-rotation-window,navigate,nl,False,False,,20.0,no-match
synthetic,synthetic-10k,sifs,synth-rotation-window,navigate,nl,True,True,517,1772.5,ok
synthetic,synthetic-10k,read-all,synth-rotation-window-kw,navigate,keyword,True,True,5971065,82.9,read 10496 file(s)
synthetic,synthetic-10k,rg,synth-rotation-window-kw,navigate,keyword,True,True,96,19.2,ok
synthetic,synthetic-10k,sifs,synth-rotation-window-kw,navigate,keyword,True,True,517,1800.9,ok
